datapath         in-port  eth-dst           out-port packets  bytes
---------------- -------- ----------------- -------- -------- --------
0000000000000001        1 00:00:00:00:00:02        2        2      196
0000000000000001        1 00:00:00:00:00:03        3        1       98
0000000000000001        2 00:00:00:00:00:01        1        2      196
0000000000000001        2 00:00:00:00:00:03        3        1       98
0000000000000001        3 00:00:00:00:00:01        1        2      196
0000000000000001        3 00:00:00:00:00:02        2        2      196
0000000000000001        1 00:00:00:00:00:02        2        5      434
0000000000000001        1 00:00:00:00:00:03        3        4      336
0000000000000001        2 00:00:00:00:00:01        1        5      434
0000000000000001        2 00:00:00:00:00:03        3        4      336
0000000000000001        3 00:00:00:00:00:01        1        5      434
0000000000000001        3 00:00:00:00:00:02        2        5      434
0000000000000001        1 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:03        3       10      924
0000000000000001        2 00:00:00:00:00:01        1       11     1022
0000000000000001        2 00:00:00:00:00:03        3       10      924
0000000000000001        3 00:00:00:00:00:01        1       11     1022
0000000000000001        3 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:03        3       10      924
0000000000000001        2 00:00:00:00:00:01        1       11     1022
0000000000000001        2 00:00:00:00:00:03        3       10      924
0000000000000001        3 00:00:00:00:00:01        1       11     1022
0000000000000001        3 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:03        3       10      924
0000000000000001        2 00:00:00:00:00:01        1       11     1022
0000000000000001        2 00:00:00:00:00:03        3       10      924
0000000000000001        3 00:00:00:00:00:01        1       11     1022
0000000000000001        3 00:00:00:00:00:02        2       11     1022
0000000000000001        1 00:00:00:00:00:02        2        1       98
0000000000000001        1 00:00:00:00:00:03        3        1       98
0000000000000001        2 00:00:00:00:00:01        1        2      196
0000000000000001        2 00:00:00:00:00:03        3        1       98
0000000000000001        3 00:00:00:00:00:01        1        2      196
0000000000000001        3 00:00:00:00:00:02        2        2      196
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        2      140
0000000000000001        1 00:00:00:00:00:03        3        2      140
0000000000000001        2 00:00:00:00:00:01        1        3      238
0000000000000001        2 00:00:00:00:00:03        3        2      140
0000000000000001        3 00:00:00:00:00:01        1        3      238
0000000000000001        3 00:00:00:00:00:02        2        3      238
0000000000000001        1 00:00:00:00:00:02        2        1       98
0000000000000001        1 00:00:00:00:00:03        3        1       98
